LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
G-7;QGDP;VOLIDX;IDX;Q;1985-Q2;52;
G-7;QGDP;VOLIDX;IDX;Q;1985-Q3;52.7;
G-7;QGDP;VOLIDX;IDX;Q;1985-Q4;53.1;
G-7;QGDP;VOLIDX;IDX;Q;1986-Q1;53.4;
G-7;QGDP;VOLIDX;IDX;Q;1986-Q2;53.7;
G-7;QGDP;VOLIDX;IDX;Q;1986-Q3;54.1;
G-7;QGDP;VOLIDX;IDX;Q;1986-Q4;54.4;
G-7;QGDP;VOLIDX;IDX;Q;1987-Q1;54.6;
G-7;QGDP;VOLIDX;IDX;Q;1987-Q2;55.3;
G-7;QGDP;VOLIDX;IDX;Q;1987-Q3;56;
G-7;QGDP;VOLIDX;IDX;Q;1987-Q4;56.9;
G-7;QGDP;VOLIDX;IDX;Q;1988-Q1;57.5;
G-7;QGDP;VOLIDX;IDX;Q;1988-Q2;58;
G-7;QGDP;VOLIDX;IDX;Q;1988-Q3;58.7;
G-7;QGDP;VOLIDX;IDX;Q;1988-Q4;59.3;
G-7;QGDP;VOLIDX;IDX;Q;1989-Q1;60.1;
G-7;QGDP;VOLIDX;IDX;Q;1989-Q2;60.3;
G-7;QGDP;VOLIDX;IDX;Q;1989-Q3;60.8;
G-7;QGDP;VOLIDX;IDX;Q;1989-Q4;61.4;
G-7;QGDP;VOLIDX;IDX;Q;1990-Q1;61.9;
G-7;QGDP;VOLIDX;IDX;Q;1990-Q2;62.4;
G-7;QGDP;VOLIDX;IDX;Q;1990-Q3;62.7;
G-7;QGDP;VOLIDX;IDX;Q;1990-Q4;62.5;
G-7;QGDP;VOLIDX;IDX;Q;1991-Q1;62.7;
G-7;QGDP;VOLIDX;IDX;Q;1991-Q2;63;
G-7;QGDP;VOLIDX;IDX;Q;1991-Q3;63.1;
G-7;QGDP;VOLIDX;IDX;Q;1991-Q4;63.5;
G-7;QGDP;VOLIDX;IDX;Q;1992-Q1;64;
G-7;QGDP;VOLIDX;IDX;Q;1992-Q2;64.3;
G-7;QGDP;VOLIDX;IDX;Q;1992-Q3;64.6;
G-7;QGDP;VOLIDX;IDX;Q;1992-Q4;64.8;
G-7;QGDP;VOLIDX;IDX;Q;1993-Q1;64.9;
G-7;QGDP;VOLIDX;IDX;Q;1993-Q2;65.1;
G-7;QGDP;VOLIDX;IDX;Q;1993-Q3;65.2;
G-7;QGDP;VOLIDX;IDX;Q;1993-Q4;65.8;
G-7;QGDP;VOLIDX;IDX;Q;1994-Q1;66.4;
G-7;QGDP;VOLIDX;IDX;Q;1994-Q2;67;
G-7;QGDP;VOLIDX;IDX;Q;1994-Q3;67.5;
G-7;QGDP;VOLIDX;IDX;Q;1994-Q4;68;
G-7;QGDP;VOLIDX;IDX;Q;1995-Q1;68.4;
G-7;QGDP;VOLIDX;IDX;Q;1995-Q2;68.7;
G-7;QGDP;VOLIDX;IDX;Q;1995-Q3;69.2;
G-7;QGDP;VOLIDX;IDX;Q;1995-Q4;69.5;
G-7;QGDP;VOLIDX;IDX;Q;1996-Q1;69.8;
G-7;QGDP;VOLIDX;IDX;Q;1996-Q2;70.7;
G-7;QGDP;VOLIDX;IDX;Q;1996-Q3;71.1;
G-7;QGDP;VOLIDX;IDX;Q;1996-Q4;71.8;
G-7;QGDP;VOLIDX;IDX;Q;1997-Q1;72.1;
G-7;QGDP;VOLIDX;IDX;Q;1997-Q2;72.9;
G-7;QGDP;VOLIDX;IDX;Q;1997-Q3;73.5;
G-7;QGDP;VOLIDX;IDX;Q;1997-Q4;74.1;
G-7;QGDP;VOLIDX;IDX;Q;1998-Q1;74.5;
G-7;QGDP;VOLIDX;IDX;Q;1998-Q2;74.8;
G-7;QGDP;VOLIDX;IDX;Q;1998-Q3;75.4;
G-7;QGDP;VOLIDX;IDX;Q;1998-Q4;76.2;
G-7;QGDP;VOLIDX;IDX;Q;1999-Q1;76.6;
G-7;QGDP;VOLIDX;IDX;Q;1999-Q2;77;
G-7;QGDP;VOLIDX;IDX;Q;1999-Q3;77.9;
G-7;QGDP;VOLIDX;IDX;Q;1999-Q4;78.9;
G-7;QGDP;VOLIDX;IDX;Q;2000-Q1;79.6;
G-7;QGDP;VOLIDX;IDX;Q;2000-Q2;80.6;
G-7;QGDP;VOLIDX;IDX;Q;2000-Q3;80.8;
G-7;QGDP;VOLIDX;IDX;Q;2000-Q4;81.3;
G-7;QGDP;VOLIDX;IDX;Q;2001-Q1;81.6;
G-7;QGDP;VOLIDX;IDX;Q;2001-Q2;81.7;
G-7;QGDP;VOLIDX;IDX;Q;2001-Q3;81.5;
G-7;QGDP;VOLIDX;IDX;Q;2001-Q4;81.6;
G-7;QGDP;VOLIDX;IDX;Q;2002-Q1;82;
G-7;QGDP;VOLIDX;IDX;Q;2002-Q2;82.4;
G-7;QGDP;VOLIDX;IDX;Q;2002-Q3;82.8;
G-7;QGDP;VOLIDX;IDX;Q;2002-Q4;83;
G-7;QGDP;VOLIDX;IDX;Q;2003-Q1;83.1;
G-7;QGDP;VOLIDX;IDX;Q;2003-Q2;83.6;
G-7;QGDP;VOLIDX;IDX;Q;2003-Q3;84.5;
G-7;QGDP;VOLIDX;IDX;Q;2003-Q4;85.3;
G-7;QGDP;VOLIDX;IDX;Q;2004-Q1;85.8;
G-7;QGDP;VOLIDX;IDX;Q;2004-Q2;86.3;
G-7;QGDP;VOLIDX;IDX;Q;2004-Q3;86.8;
G-7;QGDP;VOLIDX;IDX;Q;2004-Q4;87.3;
G-7;QGDP;VOLIDX;IDX;Q;2005-Q1;87.9;
G-7;QGDP;VOLIDX;IDX;Q;2005-Q2;88.4;
G-7;QGDP;VOLIDX;IDX;Q;2005-Q3;89.2;
G-7;QGDP;VOLIDX;IDX;Q;2005-Q4;89.7;
G-7;QGDP;VOLIDX;IDX;Q;2006-Q1;90.5;
G-7;QGDP;VOLIDX;IDX;Q;2006-Q2;90.9;
G-7;QGDP;VOLIDX;IDX;Q;2006-Q3;91.1;
G-7;QGDP;VOLIDX;IDX;Q;2006-Q4;92;
G-7;QGDP;VOLIDX;IDX;Q;2007-Q1;92.3;
G-7;QGDP;VOLIDX;IDX;Q;2007-Q2;92.8;
G-7;QGDP;VOLIDX;IDX;Q;2007-Q3;93.1;
G-7;QGDP;VOLIDX;IDX;Q;2007-Q4;93.5;
G-7;QGDP;VOLIDX;IDX;Q;2008-Q1;93.5;
G-7;QGDP;VOLIDX;IDX;Q;2008-Q2;93.5;
G-7;QGDP;VOLIDX;IDX;Q;2008-Q3;92.9;
G-7;QGDP;VOLIDX;IDX;Q;2008-Q4;91;
G-7;QGDP;VOLIDX;IDX;Q;2009-Q1;88.9;
G-7;QGDP;VOLIDX;IDX;Q;2009-Q2;89;
G-7;QGDP;VOLIDX;IDX;Q;2009-Q3;89.3;
G-7;QGDP;VOLIDX;IDX;Q;2009-Q4;90.1;
G-7;QGDP;VOLIDX;IDX;Q;2010-Q1;90.7;
G-7;QGDP;VOLIDX;IDX;Q;2010-Q2;91.6;
G-7;QGDP;VOLIDX;IDX;Q;2010-Q3;92.4;
G-7;QGDP;VOLIDX;IDX;Q;2010-Q4;92.7;
G-7;QGDP;VOLIDX;IDX;Q;2011-Q1;92.8;
G-7;QGDP;VOLIDX;IDX;Q;2011-Q2;93;
G-7;QGDP;VOLIDX;IDX;Q;2011-Q3;93.5;
G-7;QGDP;VOLIDX;IDX;Q;2011-Q4;94;
G-7;QGDP;VOLIDX;IDX;Q;2012-Q1;94.5;
G-7;QGDP;VOLIDX;IDX;Q;2012-Q2;94.6;
G-7;QGDP;VOLIDX;IDX;Q;2012-Q3;94.7;
G-7;QGDP;VOLIDX;IDX;Q;2012-Q4;94.6;
G-7;QGDP;VOLIDX;IDX;Q;2013-Q1;95.2;
G-7;QGDP;VOLIDX;IDX;Q;2013-Q2;95.6;
G-7;QGDP;VOLIDX;IDX;Q;2013-Q3;96.3;
G-7;QGDP;VOLIDX;IDX;Q;2013-Q4;96.8;
G-7;QGDP;VOLIDX;IDX;Q;2014-Q1;97;
G-7;QGDP;VOLIDX;IDX;Q;2014-Q2;97.4;
G-7;QGDP;VOLIDX;IDX;Q;2014-Q3;98.2;
G-7;QGDP;VOLIDX;IDX;Q;2014-Q4;98.7;
G-7;QGDP;VOLIDX;IDX;Q;2015-Q1;99.4;
G-7;QGDP;VOLIDX;IDX;Q;2015-Q2;99.9;
G-7;QGDP;VOLIDX;IDX;Q;2015-Q3;100.2;
G-7;QGDP;VOLIDX;IDX;Q;2015-Q4;100.4;
G-7;QGDP;VOLIDX;IDX;Q;2016-Q1;101;
G-7;QGDP;VOLIDX;IDX;Q;2016-Q2;101.2;
G-7;QGDP;VOLIDX;IDX;Q;2016-Q3;101.6;
G-7;QGDP;VOLIDX;IDX;Q;2016-Q4;102.2;
G-7;QGDP;VOLIDX;IDX;Q;2017-Q1;102.9;
G-7;QGDP;VOLIDX;IDX;Q;2017-Q2;103.4;
G-7;QGDP;VOLIDX;IDX;Q;2017-Q3;104.1;
G-7;QGDP;VOLIDX;IDX;Q;2017-Q4;104.9;
G-7;QGDP;VOLIDX;IDX;Q;2018-Q1;105.4;
G-7;QGDP;VOLIDX;IDX;Q;2018-Q2;105.9;
G-7;QGDP;VOLIDX;IDX;Q;2018-Q3;106.1;
G-7;QGDP;VOLIDX;IDX;Q;2018-Q4;106.5;
G-7;QGDP;VOLIDX;IDX;Q;2019-Q1;107.1;
G-7;QGDP;VOLIDX;IDX;Q;2019-Q2;107.4;
G-7;QGDP;VOLIDX;IDX;Q;2019-Q3;107.8;
G-7;QGDP;VOLIDX;IDX;Q;2019-Q4;107.9;
